rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,Unknown,South,West,Midwest,Northeast,U.S. Territories,regionOfCitizenship
28,40100,Fashion & Retail,François Pinault & family,86.0,France,Paris,Luxury goods,Fashion & Retail,France,Unknown,True,D,M,8/21/1936 0:00,Pinault,François,Unknown,04/04/2023,Unknown,Unknown,1936.0,8.0,21.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Europe
29,39100,Logistics,Klaus-Michael Kuehne,85.0,Switzerland,Schindellegi,Shipping,Logistics,Germany,Unknown,False,U,M,6/2/1937 0:00,Kuehne,Klaus-Michael,Unknown,04/04/2023,Unknown,Unknown,1937.0,6.0,2.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Europe
30,38900,Food & Beverage,Giovanni Ferrero,58.0,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,Italy,Unknown,False,U,M,9/21/1964 0:00,Ferrero,Giovanni,Unknown,04/04/2023,Unknown,Unknown,1964.0,9.0,21.0,117.11,1.4,"$529,606,710,418 ",79.7,103.9,81.6,24.0,55.4,11484055.0,50.503887,4.469936,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Europe
31,38300,Food & Beverage,Jacqueline Mars,83.0,United States,The Plains,"Candy, pet food",Food & Beverage,United States,Unknown,False,U,F,10/10/1939 0:00,Mars,Jacqueline,Unknown,04/04/2023,Virginia,South,1939.0,10.0,10.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
31,38300,Food & Beverage,John Mars,87.0,United States,Jackson,"Candy, pet food",Food & Beverage,United States,Unknown,False,U,M,10/15/1935 0:00,Mars,John,Unknown,04/04/2023,Wyoming,South,1935.0,10.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
33,38000,Diversified,Li Ka-shing,94.0,Hong Kong,,Diversified,Diversified,Hong Kong,CK Hutchison Holdings,True,U,M,6/13/1928 0:00,Li,Ka-shing,Senior Advisor,04/04/2023,Unknown,Unknown,1928.0,6.0,13.0,,,,,,,,,,,,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Asia
34,35300,Technology,Ma Huateng,51.0,China,Shenzhen,Internet media,Technology,China,Tencent Holdings,True,D,M,10/29/1971 0:00,Ma,Huateng,Chairman and CEO,04/04/2023,Unknown,Unknown,1971.0,10.0,29.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Asia
35,35000,Gambling & Casinos,Miriam Adelson & family,77.0,United States,Las Vegas,Casinos,Gambling & Casinos,United States,Unknown,False,U,F,10/10/1945 0:00,Adelson,Miriam,Unknown,04/04/2023,Nevada,West,1945.0,10.0,10.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
35,35000,Finance & Investments,Ken Griffin,54.0,United States,Miami,Hedge funds,Finance & Investments,United States,Citadel LLC,True,U,M,10/15/1968 0:00,Griffin,Ken,Founder & CEO,04/04/2023,Florida,South,1968.0,10.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
37,34700,Food & Beverage,Mark Mateschitz,30.0,Austria,Salzburg,Red Bull,Food & Beverage,Austria,Unknown,False,N,M,5/7/1992 0:00,Mateschitz,Mark,Unknown,04/04/2023,Unknown,Unknown,1992.0,5.0,7.0,118.06,1.5,"$446,314,739,528 ",85.1,103.1,81.6,25.4,51.4,8877067.0,47.516231,14.550072,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Europe
38,33400,Automotive,Robin Zeng,54.0,China,Ningde,Batteries,Automotive,Hong Kong,Unknown,True,D,M,1/1/1969 0:00,Zeng,Robin,Unknown,04/04/2023,Unknown,Unknown,1969.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Asia
39,32600,Fashion & Retail,Tadashi Yanai & family,74.0,Japan,Tokyo,Fashion retail,Fashion & Retail,Japan,Unknown,True,U,M,2/7/1949 0:00,Yanai,Tadashi,Unknown,04/04/2023,Unknown,Unknown,1949.0,2.0,7.0,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Asia
40,32100,Diversified,Len Blavatnik,65.0,United Kingdom,London,"Music, chemicals",Diversified,United States,Unknown,True,D,M,6/1/1957 0:00,Blavatnik,Len,Unknown,04/04/2023,Unknown,Unknown,1957.0,6.0,1.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
41,31600,Fashion & Retail,Alain Wertheimer,74.0,United States,New York,Chanel,Fashion & Retail,France,Unknown,False,U,M,8/28/1948 0:00,Wertheimer,Alain,Unknown,04/04/2023,New York,Northeast,1948.0,8.0,28.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Europe
41,31600,Fashion & Retail,Gerard Wertheimer,72.0,United States,New York,Chanel,Fashion & Retail,France,Unknown,False,U,M,1/9/1951 0:00,Wertheimer,Gerard,Unknown,04/04/2023,New York,Northeast,1951.0,1.0,9.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Europe
43,31200,Logistics,Gianluigi Aponte,82.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,Unknown,True,Split Family Fortune,M,6/27/1940 0:00,Aponte,Gianluigi,Unknown,04/04/2023,Unknown,Unknown,1940.0,6.0,27.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Europe
43,31200,Logistics,Rafaela Aponte-Diamant,78.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,Unknown,True,Split Family Fortune,F,3/26/1945 0:00,Aponte-Diamant,Rafaela,Unknown,04/04/2023,Unknown,Unknown,1945.0,3.0,26.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Europe
45,30200,Technology,Colin Zheng Huang,43.0,China,Shanghai,E-commerce,Technology,China,Unknown,True,U,M,2/2/1980 0:00,Huang,Colin Zheng,Unknown,04/04/2023,Unknown,Unknown,1980.0,2.0,2.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Asia
46,29700,Manufacturing,Reinhold Wuerth & family,87.0,Germany,Kuenzelsau,Fasteners,Manufacturing,Germany,Unknown,True,U,M,4/20/1935 0:00,Wuerth,Reinhold,Unknown,04/04/2023,Unknown,Unknown,1935.0,4.0,20.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Europe
47,29500,Real Estate,Lee Shau Kee,95.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,Unknown,True,D,M,1/29/1928 0:00,Lee,Shau Kee,Unknown,04/04/2023,Unknown,Unknown,1928.0,1.0,29.0,,,,,,,,,,,,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Asia
48,28500,Finance & Investments,Jeff Yass,64.0,United States,Haverford,"Trading, investments",Finance & Investments,United States,Unknown,True,U,M,7/17/1958 0:00,Yass,Jeff,Unknown,04/04/2023,Pennsylvania,Northeast,1958.0,7.0,17.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
49,28100,Finance & Investments,Jim Simons,84.0,United States,East Setauket,Hedge funds,Finance & Investments,United States,Renaissance Technologies Corp.,True,D,M,4/25/1938 0:00,Simons,Jim,Founder,04/04/2023,New York,Northeast,1938.0,4.0,25.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
50,27800,Finance & Investments,Stephen Schwarzman,76.0,United States,New York,Investments,Finance & Investments,United States,Blackstone Group,True,D,M,2/14/1947 0:00,Schwarzman,Stephen,Chairman and CEO,04/04/2023,New York,Northeast,1947.0,2.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
51,27400,Automotive,Susanne Klatten,60.0,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,Germany,Unknown,False,U,F,4/28/1962 0:00,Klatten,Susanne,Unknown,04/04/2023,Unknown,Unknown,1962.0,4.0,28.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Europe
52,27000,Metals & Mining,Gina Rinehart,69.0,Australia,Perth,Mining,Metals & Mining,Australia,Hancock Prospecting,False,D,F,2/9/1954 0:00,Rinehart,Gina,Executive Chairman,04/04/2023,Unknown,Unknown,1954.0,2.0,9.0,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Oceania
53,26700,Technology,William Ding,51.0,China,Hangzhou,Online games,Technology,China,Unknown,True,U,M,10/1/1971 0:00,Ding,William,Unknown,04/04/2023,Unknown,Unknown,1971.0,10.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Asia
54,26600,Metals & Mining,Germán Larrea Mota Velasco & family,69.0,Mexico,Mexico City,Mining,Metals & Mining,Mexico,Unknown,False,D,M,10/26/1953 0:00,Larrea Mota Velasco,Germán,Unknown,04/04/2023,Unknown,Unknown,1953.0,10.0,26.0,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Latin America and the Caribbean
55,25600,Technology,Shiv Nadar,77.0,India,Delhi,software services,Technology,India,Unknown,True,D,M,7/18/1945 0:00,Nadar,Shiv,Unknown,04/04/2023,Unknown,Unknown,1945.0,7.0,18.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Asia
56,25500,Energy,Low Tuck Kwong,74.0,Indonesia,Jakarta,Coal,Energy,Indonesia,Unknown,True,U,M,4/17/1948 0:00,Low Tuck,Kwong,Unknown,04/04/2023,Unknown,Unknown,1948.0,4.0,17.0,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Asia
57,25300,Finance & Investments,Thomas Peterffy,78.0,United States,Palm Beach,Discount brokerage,Finance & Investments,United States,Unknown,True,U,M,9/30/1944 0:00,Peterffy,Thomas,Unknown,04/04/2023,Florida,South,1944.0,9.0,30.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
58,25200,Metals & Mining,Andrey Melnichenko & family,51.0,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,Russia,Unknown,True,U,M,3/8/1972 0:00,Melnichenko,Andrey,Unknown,04/04/2023,Unknown,Unknown,1972.0,3.0,8.0,114.52,-1.9,"$421,142,267,938 ",36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Europe
59,24600,Automotive,Stefan Quandt,56.0,Germany,Frankfurt,BMW,Automotive,Germany,Unknown,False,U,M,5/9/1966 0:00,Quandt,Stefan,Unknown,04/04/2023,Unknown,Unknown,1966.0,5.0,9.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Europe
